applicant_id,annual_income,monthly_expenses,credit_score,existing_loans,total_existing_loan_amount,outstanding_debt,bank_acc_history
149,138556,708,726,0,28473,10845,8
150,104709,957,785,2,22637,16999,4
151,47014,3228,301,0,2800,18034,7
152,93025,4361,841,2,14055,684,0
153,75135,1319,767,0,34856,586,1
154,57086,1322,720,1,38022,23817,8
155,68787,3370,476,2,22922,1856,0
156,113970,642,752,1,23882,13430,4
157,84867,1834,843,0,5139,15634,2
158,39218,3424,535,1,34136,4201,6
159,144086,3605,782,2,34382,22836,2
160,51312,1315,306,0,4279,20091,7
161,78213,1958,707,1,31238,5212,7
162,135699,914,785,0,40493,20525,8
163,147765,3373,782,0,31657,21790,1
164,56923,936,747,0,47433,22154,3
165,110507,2019,817,2,31255,15717,6
166,35894,2862,500,0,34274,2027,9
167,140078,3105,704,2,17459,20409,0
168,79460,1691,768,2,21615,27646,6
169,112370,1470,826,0,16792,9182,8
170,117974,713,772,0,17521,9083,7
171,50689,1930,800,1,23732,769,2
172,80943,2181,736,2,4963,16649,3
173,125788,4147,799,1,43474,17507,1
174,102705,2406,738,2,33917,4709,0
175,117481,1036,759,2,22458,14403,0
176,143256,3898,829,0,33195,21590,6
177,76537,4094,762,2,28917,21635,9
178,144065,2930,789,2,34839,15850,0
179,54157,1144,541,0,30084,19967,0
180,100970,2491,719,2,17516,17743,6
181,110982,2403,823,0,803,5625,6
182,125086,1192,836,0,11541,12500,2
183,50150,2651,571,1,48885,6024,6
184,25986,810,507,0,9380,27972,7
185,82393,2513,831,0,32464,23196,9
186,68259,3836,812,0,5727,12445,7
187,24373,3589,531,0,24276,29827,3
188,59997,2239,803,0,47983,13060,3
189,55260,4860,841,1,36115,10298,6
190,123670,2323,727,1,48833,3510,8
191,136482,4387,767,2,10493,23115,0
192,64246,1715,308,1,14192,24090,8
193,29750,2458,430,1,42859,14940,5
194,119597,4072,753,2,4854,4069,0
195,136534,2237,769,1,43757,22134,1
196,58480,3286,764,1,42982,27581,6
197,23885,3442,303,0,38626,1076,4
198,26732,2017,571,0,43051,23512,2
199,56075,4795,395,0,3907,11089,4
200,55390,1815,530,1,29123,19688,6
201,121118,2044,774,2,34966,27650,1
202,127683,2198,833,2,10229,9962,7
203,88183,3765,745,0,23971,23485,0
204,34034,3455,490,0,42010,27489,1
205,121084,4242,787,2,30758,9234,7
206,147787,546,708,1,10522,2585,1
207,100891,3520,765,1,12593,13093,8
208,115437,1890,750,1,40422,27377,4
209,115211,2539,797,0,45299,6348,1
210,124657,3250,782,0,8911,21675,3
211,80776,3592,765,1,37355,24260,1
212,119745,1322,757,2,4051,11888,3
213,119916,4804,758,1,5699,23462,2
214,101629,952,807,1,2779,27929,3
215,50362,2504,387,0,48803,11865,6
216,51467,4268,829,0,32192,5771,8
217,73543,650,703,1,44170,8282,4
218,60597,4268,408,1,13664,3612,6
219,101998,4123,715,0,19664,6566,8
220,49839,1136,461,1,20613,750,8
221,77896,2951,754,0,6477,7457,4
222,85861,991,709,1,14530,455,3
223,97998,1757,720,2,29903,18679,9
224,101076,1909,712,1,19132,4447,4
225,81932,4568,813,2,1392,20956,9
226,132170,2598,836,1,39240,12186,1
227,53850,2879,522,1,20043,20537,7
228,126222,4291,821,1,6874,26093,4
229,28232,1594,413,1,42933,16370,5
230,82403,975,713,1,43598,28026,5
231,50634,791,591,0,39586,7056,4
232,114550,3244,773,1,40711,27669,1
233,64992,916,765,2,40265,18177,5
234,105075,1975,748,2,31391,22513,2
235,147521,2621,833,2,16966,2652,4
236,64614,4056,345,0,11188,27321,7
237,117790,831,846,2,49518,2349,8
238,72244,2252,770,2,11123,29058,1
239,70066,3468,788,2,45994,17161,5
240,124014,3379,750,2,39550,28666,0
241,67858,3516,391,1,14727,12061,7
242,30642,1701,373,1,17247,8152,0
243,43155,2615,569,1,43290,14939,1
244,123304,990,839,2,43441,23800,5
245,84825,2177,728,0,37360,3513,5
246,51231,2200,479,1,49542,12490,4
247,115371,961,721,2,46923,4542,0
248,60846,3334,493,2,25569,4823,0
249,68568,3426,330,1,38614,6457,9
250,44252,2107,587,2,43386,11258,4
251,69126,573,842,0,10534,3969,9
252,130748,1618,765,1,28999,1327,9
253,39096,1656,475,1,12193,17962,6
254,91013,2470,725,2,20124,3813,5
255,53348,1820,715,1,8318,9410,3
256,118407,1602,797,0,37596,18235,7
257,53457,4125,519,2,32281,27101,1
258,91153,1712,759,0,16298,2759,8
259,92652,1482,782,1,13079,9086,4
260,146468,527,792,2,27712,14532,0
261,82820,628,745,2,32805,3919,4
262,30731,959,422,0,6349,497,7
263,107722,2755,746,0,46234,21270,5
264,113841,3853,811,0,19632,18838,9
265,51139,3896,307,1,4790,25286,1
266,42867,2046,405,1,7096,5184,6
267,85429,2645,814,1,48405,12125,5
268,42608,3206,369,1,14007,5200,7
269,98534,1521,784,2,30201,20437,5
270,139333,4026,754,0,24232,6468,9
271,31928,3237,476,0,45844,21871,0
272,32773,1994,372,1,47927,8634,4
273,43297,2054,344,2,20497,22324,3
274,42874,4433,450,0,9255,27737,2
275,130989,881,819,2,23163,10611,4
276,109935,2763,768,2,4995,5626,2
277,58130,1972,308,0,7661,27821,2
278,138764,3829,722,0,2728,19627,8
279,54487,577,493,1,45090,25917,5
280,59629,1811,580,0,1914,5231,9
281,43311,3194,316,2,25746,22090,4
282,95718,789,766,1,9067,16923,4
283,106610,2213,822,1,8835,7736,9
284,86996,642,721,1,15771,24561,0
285,95113,3381,708,0,24978,14558,8
286,149579,4498,747,2,39962,16601,5
287,89445,2051,775,2,3381,9388,6
288,133930,4181,820,2,2414,10042,4
289,85646,2901,838,1,29677,19779,3
290,88369,2314,815,1,15420,25908,8
291,98524,3865,785,2,40699,6922,3
292,70039,4326,793,1,13903,28021,7
293,57852,2135,411,1,32716,23651,4
294,149849,3228,748,1,19474,13892,2
295,63776,4364,779,0,39999,22988,1
296,88716,1906,783,2,15362,25102,5
297,39267,1685,435,1,10183,8596,9
298,113371,1919,720,2,10238,21308,5
299,90226,2119,788,0,23618,307,9
300,148061,801,828,0,23530,9201,4
301,54774,2846,739,1,36621,14943,0
302,54760,4938,719,2,11022,24869,1
303,69468,3513,823,1,45778,26679,2
304,89534,4938,702,0,3885,1064,1
305,62818,4980,487,0,43774,8821,1
306,29425,4664,581,2,35314,25518,6
307,54775,4685,762,1,22522,7332,8
308,83296,1272,768,2,34828,11556,5
309,50677,1300,472,1,28365,19780,5
310,107003,4017,723,0,28130,8775,4
311,103794,1477,701,1,48402,7112,8
312,67788,599,721,1,46958,21196,6
313,105075,3603,768,0,44240,26950,5
314,25072,4788,373,0,32282,11801,2
315,46160,3318,435,2,32799,495,2
316,131369,559,809,2,48616,18566,4
317,71393,3610,794,2,46160,10333,4
318,89872,2939,807,0,19701,7977,3
319,146349,2360,724,1,43486,14642,7
320,127561,3387,779,0,14018,23540,1
321,118201,841,798,1,30610,7572,7
322,50318,2933,368,1,2121,12071,1
323,80613,3563,834,1,26415,6183,7
324,56699,4881,790,2,35855,8243,6
325,20449,1049,319,2,35243,6393,9
326,63567,3340,391,1,2129,5332,5
327,65523,1859,751,2,47043,25091,6
328,133621,3977,733,2,5833,9974,4
329,145748,3977,701,2,31929,12889,3
330,129593,2241,709,0,2773,2838,9
331,58222,1816,831,0,26023,9712,8
332,64881,3625,327,0,25828,13637,1
333,92157,938,788,2,2404,898,7
334,132101,4059,806,2,32622,22453,3
335,77264,4768,802,0,48318,24922,6
336,87751,3804,704,1,19833,24218,3
337,35717,1561,336,2,3049,9363,5
338,32464,2008,591,1,518,20790,0
339,141939,4176,837,0,34840,508,8
340,106797,3348,793,2,14916,22431,5
341,148643,2098,799,0,45799,9611,1
342,97805,652,769,0,10619,18579,6
343,138045,2332,847,2,43573,20398,4
344,91137,1129,805,0,32740,3223,9
345,101601,2231,749,0,27213,29319,5
346,55772,4560,787,2,29776,29505,4
347,82016,1097,773,1,45566,17026,9
348,61283,2974,717,1,22413,13628,2
349,77588,1594,817,1,24744,18856,5
350,51301,4972,712,1,24433,1365,0
351,145207,2425,768,1,14177,25629,6
352,57837,4502,510,1,26288,14622,7
353,120031,3961,742,0,36660,22404,5
354,69754,4179,845,0,45049,23363,7
355,121101,1413,738,2,29720,2623,0
356,140922,1717,775,0,24431,2505,2
357,96554,2901,756,0,9157,15681,7
358,147293,1403,741,1,44533,26355,9
359,25863,2269,515,0,22402,10337,2
360,77935,4219,712,0,41635,2875,3
361,54295,3694,748,2,20782,16860,3
362,118928,3113,722,2,22205,6957,9
363,62511,2384,814,2,5289,21276,3
364,63111,2260,730,2,41733,21631,8
365,50059,1569,406,1,43355,2320,7
366,50199,4390,835,1,11655,27712,7
367,29428,3324,414,1,33359,5061,7
368,66630,4349,496,0,39500,10734,0
369,135828,1715,776,1,3661,9223,1
370,51550,1040,744,1,17674,25911,1
371,112301,3401,753,1,20698,23629,8
372,51665,1844,839,0,9013,19446,9
373,125219,3345,805,1,1608,10103,6
374,94003,2267,836,2,27912,7622,9
375,92664,1024,781,2,20810,3085,0
376,83766,3404,831,1,31827,12009,1
377,45314,3231,593,0,41666,24052,7
378,52983,3727,744,1,32222,24777,4
379,47579,1521,528,0,36697,29941,5
380,120380,3816,829,0,47657,11877,1
381,80090,519,809,1,34182,21825,4
382,88275,1731,841,2,38230,3748,7
383,91627,1840,816,1,16356,20910,2
384,24897,2451,498,1,29467,8707,6
385,47807,3837,381,0,4318,15496,8
386,31505,4317,460,2,42829,6954,4
387,131068,3568,796,2,9813,10079,8
388,86231,4410,818,2,9712,11608,8
389,23962,1000,565,0,33167,20825,7
390,67300,1617,596,1,6600,15499,4
391,50237,4475,354,2,14408,3556,7
392,148838,4368,741,2,2321,16305,4
393,100461,2055,729,0,45248,14854,5
394,32648,2468,367,2,12447,28996,7
395,73318,977,818,0,36340,23114,8
396,50936,1971,558,2,39200,26564,7
397,69598,4150,437,1,34716,27261,7
398,133635,4156,790,2,34188,22431,5
399,59375,3042,546,2,49912,27545,9
400,56659,2059,463,0,49797,3908,0
401,101764,1357,762,2,44759,20634,4
402,40715,3013,448,1,11333,1143,3
403,93544,2332,720,2,33881,4350,5
404,56659,4737,510,0,22619,8029,1
405,73663,4137,733,0,35932,26645,1
406,37679,4793,396,1,6475,2528,8
407,50047,4847,724,1,18256,5268,1
408,103744,2049,727,0,13939,823,3
409,49957,3772,480,2,27102,18130,8
410,70335,2236,796,1,7195,14278,5
411,71551,3858,700,2,45985,12994,7
412,33286,3404,462,2,28555,15080,9
413,46840,4044,503,1,43621,22665,5
414,116955,3893,747,2,40704,24556,8
415,66352,4803,807,2,6369,29115,1
416,86165,4260,795,1,36287,24174,7
417,132287,834,761,0,33642,7209,1
418,71638,1031,798,0,15361,26889,5
419,135592,2582,794,0,29862,20433,9
420,61823,842,475,2,27265,25306,2
421,69738,4756,436,1,35785,1525,0
422,57880,2083,496,2,6762,21587,7
423,96762,4089,816,2,26304,26843,8
424,106682,4558,831,1,28677,1839,0
425,93850,4714,750,2,6430,24720,1
426,85283,736,703,1,3891,17966,5
427,92686,911,808,0,11262,11801,2
428,58035,1928,308,1,2983,28624,6
429,126671,1918,707,1,17472,20761,7
430,75915,4064,787,0,41958,21249,3
431,87553,4943,737,1,29345,26509,4
432,38668,2365,358,1,17058,19873,7
433,83985,4942,822,2,7664,6656,8
434,85389,2483,826,1,5864,21570,8
435,128755,1232,828,2,9127,83,2
436,32785,3594,521,0,48563,23348,1
437,103392,787,709,0,20091,26941,3
438,33681,1846,535,1,23080,26928,1
439,46615,4056,343,0,7374,18068,7
440,97080,2207,746,1,7376,3072,3
441,67130,4739,717,0,34882,23200,4
442,68832,4534,473,0,29816,17218,9
443,127183,2679,785,2,47784,22228,7
444,93046,2989,755,2,4811,26367,5
445,60695,3743,494,0,1053,29860,4
446,25661,2198,548,0,11978,9454,4
447,31049,4348,503,2,8258,22218,0
448,25777,3198,383,0,43690,27465,4
449,119057,4601,778,1,2406,11234,2
450,138315,1197,708,2,23614,5651,8
451,61491,729,433,2,37376,11648,9
452,98377,4047,782,0,48816,23597,4
453,54803,776,718,1,43764,16006,0
454,39468,3831,504,2,42632,11650,2
455,116407,2090,716,2,37066,5119,3
456,108721,4182,702,2,31829,22240,9
457,57478,3496,792,0,38969,23418,8
458,127781,1317,821,0,48756,21962,2
459,95337,4424,753,0,22095,11407,1
460,64593,4206,848,0,27188,17753,5
461,110673,4422,842,0,12618,1222,7
462,87411,4004,847,1,42381,1392,9
463,51788,1642,497,1,44188,26503,9
464,52478,2868,790,1,3771,17928,7
465,61495,1387,423,1,5932,9658,3
466,134664,3018,809,1,15773,8343,6
467,50605,1663,735,2,32654,2017,1
468,20415,953,455,2,13339,16947,3
469,56925,4008,731,2,41564,2518,2
470,30145,4801,573,2,5353,889,6
471,75994,678,765,1,11346,27816,0
472,25029,1115,339,1,21737,4382,1
473,110814,3448,718,0,38726,13173,2
474,58009,2497,473,0,45669,12850,1
475,138344,2330,834,0,20394,24742,3
476,25412,2315,439,0,1021,15042,6
477,52631,4743,724,0,11855,22540,7
478,146340,4592,785,1,38801,27927,2
479,58267,3714,507,2,19598,14086,3
480,69568,1953,707,2,27372,28142,5
481,129880,504,752,2,3250,26443,6
482,73330,3288,797,0,44013,14854,2
483,129823,3926,741,1,39545,15473,3
484,54118,4996,781,2,40680,24258,7
485,58758,1342,817,2,31320,12595,6
486,34915,3513,334,0,45480,4887,9
487,136454,1978,747,1,21949,15594,7
488,127821,837,817,1,35505,15401,3
489,28216,556,397,1,21968,11383,1
490,27612,1887,368,2,39759,26270,1
491,113869,4236,837,2,8319,1324,8
492,115625,3546,742,0,2209,10180,2
493,62616,1191,747,0,7996,17192,2
494,130634,3052,733,2,23512,17012,9
495,63021,3241,784,0,30445,23418,5
496,146200,3114,849,2,35160,25963,4
497,89748,2936,718,1,49944,5548,4
498,107662,3029,737,2,43919,11372,2
499,62190,4407,425,1,13780,7105,7
500,52251,2187,397,2,13108,16715,1
501,134507,3435,759,0,33248,24968,7
502,135230,3174,749,2,40156,4991,8
503,87709,4117,755,0,5361,25703,3
504,67327,3113,465,1,32886,16264,6
505,127341,1263,794,2,39126,21237,0
506,109905,3890,798,0,14995,1345,6
507,33158,2168,378,0,1155,3118,2
508,39095,1789,401,1,6254,1842,8
509,28116,2209,523,0,47489,5778,4
510,27050,3813,547,2,39989,21738,6
511,147799,1020,779,2,39395,18734,1
512,106438,4778,842,0,3207,25026,5
513,22894,2863,585,0,23463,16677,6
514,30042,4839,411,2,23103,23656,6
515,87916,859,711,1,13916,5612,7
516,136723,4041,846,2,36543,3180,0
517,103559,3010,710,1,38249,25595,5
518,63112,3115,561,2,33089,9119,9
519,64942,1166,536,1,4791,22758,5
520,64199,4988,807,1,530,4019,6
521,87390,4217,821,0,10922,3720,9
522,98072,1307,707,0,19520,13861,3
523,53750,3043,365,2,48294,10977,0
524,30429,1869,421,0,38641,17258,3
525,59328,2314,473,2,47483,9553,5
526,72911,4049,838,2,2118,4500,4
527,75847,2230,719,1,26735,20034,4
528,108868,2155,788,2,16292,12277,9
529,121665,623,764,2,35257,3457,2
530,64806,4036,432,2,42239,11585,1
531,20190,1680,469,1,42121,9074,1
532,32639,3276,429,1,8356,28553,4
533,44654,3610,306,1,33007,19903,4
534,94938,718,810,1,48638,2388,4
535,62942,791,527,1,12114,14578,7
536,37516,1466,494,2,8794,20178,0
537,28804,1591,324,2,46579,6169,5
538,94225,1012,732,2,31940,13534,0
539,89565,2172,762,2,8150,8622,7
540,135023,1177,799,2,28021,24408,7
541,64821,1339,590,0,42219,24034,9
542,127135,1593,777,1,46692,15296,5
543,59015,4461,733,0,28454,5382,1
544,53880,4536,730,1,2293,15640,4
545,70273,3926,731,0,48174,12514,3
546,115174,711,716,0,44984,10032,1
547,51928,3047,845,2,37702,6771,3
548,61253,3709,844,1,25654,17501,6
549,139731,1953,721,2,16847,13494,1
550,62914,803,568,1,20790,15527,8
551,116381,1044,734,2,46577,26700,0
552,34415,1227,378,0,6961,15952,2
553,92085,2463,760,2,12590,11891,9
554,136426,4234,807,2,47072,21116,9
555,52649,3829,348,0,6989,532,6
556,50576,4610,704,1,11096,492,3
557,128458,4350,804,0,3165,4584,9
558,75988,4759,747,0,16683,5261,1
559,29242,1077,476,0,18606,17610,6
560,74022,4740,771,0,27538,15535,4
561,68854,3400,319,0,46210,18198,5
562,70297,990,738,1,21248,5399,1
563,142510,766,786,0,34074,15591,7
564,141589,2941,768,0,23025,8266,6
565,102116,4163,724,0,13257,10359,8
566,119620,1258,796,2,24998,2348,6
567,111346,3243,708,0,9613,16721,0
568,63368,4346,813,1,34638,5341,4
569,48254,2415,465,2,20906,10031,4
570,110079,3634,772,2,5643,24946,8
571,61410,4123,754,0,30611,7766,5
572,21703,4978,332,0,43302,14526,2
573,109483,869,745,2,9111,26975,6
574,110155,3806,728,2,13874,333,2
575,29575,3762,376,2,10226,19074,6
576,66692,841,382,0,7637,22215,4
577,69627,3824,778,1,43267,9079,4
578,28337,2058,485,2,30712,11861,8
579,147344,4706,740,2,36732,29043,4
580,107615,4439,811,0,33950,23573,6
581,107519,4021,756,2,29547,29361,2
582,69826,1695,592,1,10083,4965,7
583,69967,1002,818,2,1807,2258,5
584,132891,4618,833,0,34223,22968,9
585,65694,2106,721,0,31302,18685,2
586,61314,4103,761,0,21336,24323,8
587,108316,2889,804,0,8494,28524,3
588,126000,2244,772,0,47754,28320,8
589,136664,4665,800,2,8541,28168,6
590,94697,1517,793,0,49235,7392,4
591,130136,2648,724,0,37968,13451,4
592,89772,4342,747,2,2893,4626,2
593,84451,739,803,1,35727,4194,9
594,69163,650,837,2,23731,3564,8
595,67805,2129,370,1,26452,14913,0
596,86038,2495,750,1,40106,28870,8
597,73882,2693,794,0,42283,25153,1
598,97766,2244,745,1,41495,2981,7
599,149285,3354,733,0,47174,6274,1
600,113246,988,802,2,697,3293,8
601,79262,945,748,1,48399,5328,4
602,79966,1155,826,0,9140,29532,1
603,79962,852,772,1,47602,22923,5
604,63241,752,726,1,3749,19504,5
605,126238,2722,784,2,1564,11721,3
606,83785,2440,726,0,39300,7429,5
607,136337,896,740,1,7131,11761,2
608,72100,4590,847,1,18384,3431,6
609,116884,4459,742,1,10281,14751,2
610,127475,3881,800,0,49041,22048,8
611,56622,1661,799,2,42611,15232,4
612,68398,1267,387,0,1588,10105,0
613,122797,2201,701,2,21411,5011,9
614,99628,1783,732,2,23879,24544,0
615,61730,4241,507,1,14891,28661,5
616,43651,4489,505,0,32471,18340,6
617,124494,1796,758,0,29124,2511,1
618,78972,710,713,0,33475,17980,2
619,31641,1775,329,0,44344,3763,7
620,67386,3083,505,2,4624,19085,8
621,88436,3792,704,2,21987,25478,5
622,93904,2612,805,0,48035,14360,2
623,68046,2513,802,2,29753,3737,1
624,148385,1716,741,2,25062,2915,7
625,70505,3984,761,0,6160,17587,0
626,103019,1328,817,0,11148,20064,3
627,84993,1951,801,0,39670,14766,8
628,23227,1309,387,1,21170,28491,7
629,84929,784,804,2,14596,1174,0
630,138399,945,761,2,5877,22847,5
631,29573,4174,362,1,12374,24978,9
632,24114,1158,314,2,37127,5246,9
633,144556,4997,736,2,42127,25441,6
634,79101,2924,836,2,9213,6716,6
635,137976,2997,832,2,44667,28841,8
636,97208,923,771,0,38421,8059,1
637,122676,1182,750,1,39244,23586,0
638,99950,671,831,1,20,6591,6
639,129441,2718,707,0,17288,13043,0
640,110791,562,752,1,19686,4874,2
641,148313,4813,704,1,16649,17898,7
642,142358,1083,727,1,22914,746,4
643,125165,2000,748,2,27814,7905,6
644,145565,4621,758,1,30772,12622,6
645,129460,1831,723,0,41615,11945,5
646,44856,3260,301,2,13027,10427,9
647,55183,792,774,0,45301,13205,8
648,81637,4442,737,2,25209,13242,3
649,42215,4042,575,0,6822,17540,2
650,86545,507,789,1,7046,18401,8
651,116694,2472,833,0,11681,17352,1
652,88706,2690,775,1,41397,5194,7
653,110506,3308,843,1,11830,5050,1
654,28115,1888,545,1,6974,29253,3
655,66037,2730,835,0,48147,10283,7
656,142193,2580,830,0,24120,19763,6
657,132087,2569,795,0,25912,8195,4
658,86820,4507,792,1,30228,28040,2
659,74291,2155,730,1,48308,14952,9
660,87146,4356,793,2,28151,25064,8
661,102084,3141,700,1,2928,18111,2
662,38309,3526,456,0,1527,6851,2
663,110548,4290,766,1,18189,22581,6
664,58683,3409,727,0,21256,178,4
665,84093,4081,734,0,46708,21226,4
666,124906,1744,784,1,19605,6473,1
667,145798,2927,774,2,42306,9396,0
668,50191,4374,764,0,35732,18238,7
669,73358,3672,772,2,12666,28572,4
670,52072,4185,805,1,37135,17386,0
671,146479,4012,783,1,37360,22671,9
672,30965,2799,419,2,43451,937,1
673,129967,4589,754,1,46736,18891,0
674,87490,4416,793,0,38329,20798,4
675,96248,4368,750,1,37996,15844,6
676,67715,2615,454,0,3143,7326,2
677,51570,588,735,0,1146,17228,7
678,52286,4095,811,0,30456,20198,7
679,62446,2947,301,1,41076,11850,7
680,26660,3054,359,1,2694,845,8
681,22216,1440,549,0,30895,11859,3
682,100960,4395,772,0,12124,7278,0
683,56274,2372,763,1,6435,18776,6
684,68945,4531,793,0,36073,13598,3
685,66973,2874,382,1,9515,21116,5
686,118473,3788,774,0,48163,21037,1
687,109081,2580,800,0,31844,4780,8
688,143435,3199,825,0,9094,2320,9
689,43258,932,401,1,36753,4288,2
690,102097,2746,789,0,3555,17215,9
691,66900,3431,772,0,29212,6894,1
692,116832,3245,709,0,33289,13446,3
693,93748,1692,762,0,45900,14366,0
694,140941,2532,771,1,28278,10182,2
695,106278,2123,796,1,26791,17767,5
696,74820,4270,802,0,43863,26971,1
697,70644,3556,748,2,8811,6532,5
698,91187,2689,775,1,36516,4623,7
699,58614,1417,781,2,10911,29078,6
700,76658,746,829,2,33660,22937,8
