applicant_id,gender,age,marital_status,dependents,education,employment_status,occupation_type,residential_status,address_state
59,Male,38,Married,0,High School,Employed,Freelancer,Own,NJ
60,Female,37,Married,3,High School,Self-Employed,Professional,Rent,MN
61,Male,31,Married,1,High School,Employed,Business,Other,WA
62,Male,38,Married,2,High School,Employed,Professional,Rent,CA
63,Female,55,Divorced,1,Graduate,Employed,Freelancer,Own,MA
64,Male,29,Married,3,Postgraduate,Employed,Business,Rent,CO
65,Male,37,Married,0,Graduate,Employed,Professional,Own,WA
66,Female,30,Single,2,Graduate,Self-Employed,Professional,Own,TN
67,Male,41,Single,2,Graduate,Unemployed,Professional,Other,VA
68,Female,57,Single,2,High School,Self-Employed,Professional,Own,VA
69,Female,31,Divorced,2,Postgraduate,Self-Employed,Salaried,Own,CT
70,Male,63,Single,2,High School,Employed,Business,Own,GA
71,Female,52,Single,3,High School,Self-Employed,Professional,Other,TX
72,Male,42,Married,1,High School,Employed,Freelancer,Own,TX
73,Female,49,Single,1,Postgraduate,Employed,Freelancer,Rent,WI
74,Male,38,Married,0,Graduate,Unemployed,Salaried,Own,OH
75,Male,42,Married,0,Graduate,Employed,Business,Own,MO
76,Female,48,Single,3,Postgraduate,Employed,Salaried,Rent,RI
77,Female,32,Divorced,3,Postgraduate,Employed,Professional,Rent,MD
78,Male,39,Single,0,Postgraduate,Employed,Business,Own,MO
79,Male,49,Single,2,Postgraduate,Self-Employed,Freelancer,Own,CA
80,Male,43,Married,0,Graduate,Self-Employed,Freelancer,Rent,RI
81,Male,68,Single,3,High School,Unemployed,Salaried,Own,DE
82,Female,37,Married,0,High School,Self-Employed,Salaried,Rent,NY
83,Female,38,Married,2,Graduate,Self-Employed,Salaried,Own,PA
84,Male,49,Single,0,Graduate,Employed,Salaried,Own,NM
85,Male,43,Single,1,High School,Employed,Salaried,Own,TX
86,Male,47,Married,1,High School,Unemployed,Business,Rent,NY
87,Female,36,Married,3,Postgraduate,Self-Employed,Business,Own,NV
88,Male,41,Married,2,Graduate,Employed,Salaried,Other,MN
89,Male,61,Married,0,High School,Employed,Freelancer,Rent,TX
90,Female,40,Single,2,Graduate,Self-Employed,Salaried,Rent,LA
91,Male,43,Single,2,High School,Employed,Professional,Own,NJ
92,Male,62,Married,3,Postgraduate,Employed,Business,Own,FL
93,Female,27,Married,0,Postgraduate,Self-Employed,Business,Own,AR
94,Male,32,Divorced,3,Graduate,Self-Employed,Freelancer,Other,AR
95,Male,66,Married,3,High School,Self-Employed,Professional,Own,OH
96,Female,37,Married,0,High School,Self-Employed,Professional,Own,KY
97,Male,26,Single,2,Graduate,Unemployed,Professional,Own,NC
98,Female,49,Divorced,0,High School,Employed,Business,Rent,OH
99,Female,36,Single,1,Postgraduate,Self-Employed,Business,Own,CA
100,Female,48,Single,2,Graduate,Unemployed,Professional,Own,CT
101,Male,42,Single,1,Graduate,Self-Employed,Freelancer,Own,GA
102,Female,43,Married,1,High School,Self-Employed,Salaried,Own,VA
103,Female,48,Married,1,Graduate,Self-Employed,Freelancer,Other,GA
104,Male,40,Single,2,Graduate,Employed,Business,Own,IL
105,Male,37,Married,1,Graduate,Self-Employed,Business,Rent,CA
106,Male,26,Married,0,Postgraduate,Self-Employed,Salaried,Own,TX
107,Female,44,Married,3,Graduate,Employed,Professional,Own,CO
108,Male,55,Single,2,High School,Unemployed,Freelancer,Own,TX
109,Male,38,Married,2,Graduate,Employed,Professional,Own,NY
110,Female,48,Single,2,Postgraduate,Employed,Business,Own,CA
111,Female,27,Single,3,Postgraduate,Employed,Professional,Own,AZ
112,Female,45,Married,0,High School,Employed,Business,Other,OH
113,Male,36,Married,1,High School,Self-Employed,Salaried,Rent,PA
114,Female,25,Single,2,Graduate,Self-Employed,Professional,Rent,MD
115,Male,32,Single,0,Graduate,Employed,Freelancer,Own,TX
116,Female,23,Single,1,High School,Self-Employed,Professional,Rent,FL
117,Male,59,Married,3,Graduate,Unemployed,Professional,Other,NY
118,Female,35,Divorced,0,High School,Self-Employed,Professional,Rent,VA
119,Female,66,Married,2,High School,Self-Employed,Freelancer,Own,CA
120,Male,35,Married,3,Graduate,Self-Employed,Salaried,Own,FL
121,Female,68,Married,2,Postgraduate,Self-Employed,Business,Other,CA
122,Female,30,Married,0,Graduate,Employed,Business,Own,VA
123,Female,48,Single,0,Graduate,Employed,Business,Rent,GA
124,Female,27,Single,2,High School,Employed,Professional,Own,WA
125,Female,30,Married,0,Graduate,Unemployed,Salaried,Own,GA
126,Male,26,Married,3,Postgraduate,Self-Employed,Business,Own,AZ
127,Female,50,Single,3,Postgraduate,Self-Employed,Salaried,Own,GA
128,Female,33,Married,0,High School,Unemployed,Salaried,Rent,PA
129,Female,49,Single,1,High School,Unemployed,Professional,Own,NY
130,Female,33,Single,1,Postgraduate,Employed,Professional,Own,NV
131,Male,45,Single,2,Postgraduate,Unemployed,Salaried,Rent,GA
132,Male,25,Single,3,Postgraduate,Employed,Professional,Own,CA
133,Male,42,Married,2,High School,Employed,Salaried,Rent,NY
134,Male,41,Married,0,Graduate,Employed,Professional,Own,FL
135,Male,33,Married,3,High School,Self-Employed,Professional,Own,CA
136,Male,30,Divorced,2,Graduate,Unemployed,Salaried,Own,CA
137,Female,42,Married,1,High School,Self-Employed,Business,Other,SC
138,Female,31,Divorced,3,Graduate,Employed,Professional,Own,CT
139,Female,41,Single,3,High School,Unemployed,Business,Own,OH
140,Female,43,Single,2,High School,Unemployed,Salaried,Rent,VA
141,Male,23,Single,3,High School,Self-Employed,Salaried,Own,CA
142,Male,35,Married,2,High School,Self-Employed,Salaried,Other,CA
143,Male,26,Married,1,Postgraduate,Employed,Business,Own,DE
144,Male,49,Married,0,Graduate,Self-Employed,Professional,Other,MO
145,Male,27,Married,3,High School,Unemployed,Business,Other,FL
146,Male,32,Married,0,Graduate,Employed,Salaried,Own,CT
147,Male,33,Single,2,Graduate,Unemployed,Salaried,Own,TX
148,Female,34,Married,3,Postgraduate,Employed,Salaried,Rent,MA
149,Male,45,Married,2,Graduate,Employed,Freelancer,Own,IL
150,Male,46,Single,0,Postgraduate,Employed,Salaried,Own,FL
151,Female,62,Single,0,High School,Employed,Professional,Own,TX
152,Male,36,Single,3,Graduate,Unemployed,Salaried,Own,FL
153,Female,34,Single,2,High School,Employed,Business,Own,VA
154,Male,45,Married,2,Graduate,Employed,Salaried,Rent,VA
155,Female,47,Single,0,Graduate,Employed,Professional,Rent,OH
156,Female,38,Married,0,Graduate,Employed,Freelancer,Own,MO
157,Male,30,Single,1,Graduate,Employed,Business,Own,NY
158,Female,44,Married,3,High School,Employed,Salaried,Own,PA
159,Female,26,Single,1,High School,Unemployed,Professional,Own,MO
160,Female,32,Married,1,High School,Employed,Business,Rent,WV
161,Female,49,Married,3,High School,Employed,Business,Rent,IL
162,Male,47,Married,1,High School,Unemployed,Professional,Own,IL
163,Female,46,Single,3,Graduate,Self-Employed,Freelancer,Other,KY
164,Female,39,Married,2,High School,Employed,Business,Rent,AZ
165,Male,28,Married,3,Graduate,Employed,Freelancer,Own,MI
166,Male,60,Single,1,Graduate,Self-Employed,Salaried,Own,NJ
167,Female,31,Married,1,Postgraduate,Employed,Freelancer,Own,NJ
168,Female,39,Married,1,Postgraduate,Employed,Business,Own,LA
169,Male,44,Married,3,Graduate,Employed,Freelancer,Own,MI
170,Male,43,Divorced,0,Graduate,Employed,Salaried,Own,NY
171,Female,38,Married,1,Postgraduate,Self-Employed,Professional,Own,TX
172,Male,34,Single,2,Graduate,Employed,Business,Own,MD
173,Female,48,Single,2,Graduate,Employed,Professional,Rent,NY
174,Female,30,Married,2,High School,Unemployed,Business,Own,WI
175,Male,26,Single,3,Postgraduate,Self-Employed,Freelancer,Own,CO
176,Female,31,Married,0,Graduate,Unemployed,Freelancer,Own,WA
177,Male,48,Single,3,Graduate,Employed,Freelancer,Own,LA
178,Male,45,Single,2,High School,Employed,Business,Rent,NM
179,Male,52,Single,1,High School,Self-Employed,Business,Own,IL
180,Male,32,Married,3,Graduate,Unemployed,Business,Rent,MD
181,Female,42,Married,0,Postgraduate,Self-Employed,Freelancer,Own,NY
182,Female,39,Single,2,High School,Unemployed,Freelancer,Own,NY
183,Female,60,Married,3,Postgraduate,Employed,Freelancer,Other,MO
184,Female,39,Single,0,High School,Employed,Business,Own,UT
185,Female,47,Married,1,Graduate,Unemployed,Business,Rent,GA
186,Male,34,Married,2,Graduate,Self-Employed,Salaried,Own,PA
187,Female,42,Married,3,Graduate,Unemployed,Freelancer,Own,GA
188,Female,45,Married,3,Graduate,Employed,Salaried,Rent,MD
189,Male,41,Married,1,Postgraduate,Unemployed,Professional,Own,NY
190,Male,42,Single,0,Graduate,Employed,Freelancer,Rent,KY
191,Male,48,Divorced,0,Graduate,Self-Employed,Freelancer,Own,OK
192,Male,18,Married,2,Postgraduate,Employed,Professional,Own,TX
193,Female,19,Married,0,High School,Employed,Business,Rent,PA
194,Male,29,Divorced,0,Postgraduate,Employed,Professional,Other,NY
195,Female,34,Single,2,Postgraduate,Unemployed,Freelancer,Rent,OH
196,Male,36,Married,2,Graduate,Unemployed,Salaried,Other,AR
197,Male,30,Married,3,Graduate,Employed,Freelancer,Own,KS
198,Male,65,Single,1,High School,Employed,Business,Rent,MO
199,Female,46,Single,0,Graduate,Unemployed,Business,Own,TX
200,Female,20,Single,1,Postgraduate,Unemployed,Salaried,Own,AZ
201,Female,28,Single,2,Graduate,Unemployed,Freelancer,Own,PA
202,Male,40,Divorced,1,High School,Unemployed,Business,Rent,CO
203,Female,34,Single,1,Graduate,Employed,Freelancer,Rent,TX
204,Male,31,Married,3,Graduate,Unemployed,Freelancer,Own,CA
205,Female,45,Married,3,Postgraduate,Unemployed,Freelancer,Rent,NV
206,Male,43,Married,1,High School,Self-Employed,Professional,Rent,MA
207,Female,29,Married,0,High School,Unemployed,Professional,Own,TX
208,Female,43,Single,0,Postgraduate,Employed,Freelancer,Own,VA
209,Male,35,Married,0,Graduate,Employed,Business,Own,CA
210,Male,41,Single,3,Postgraduate,Employed,Professional,Own,IL
211,Female,31,Married,3,Graduate,Self-Employed,Business,Own,IL
212,Female,28,Married,1,High School,Self-Employed,Freelancer,Rent,WV
213,Female,39,Single,1,Graduate,Employed,Salaried,Rent,IL
214,Male,48,Divorced,0,Postgraduate,Unemployed,Freelancer,Rent,CA
215,Male,53,Single,1,Graduate,Employed,Business,Own,TX
216,Female,40,Married,0,Graduate,Employed,Business,Rent,CA
217,Female,47,Married,1,Postgraduate,Employed,Salaried,Rent,MO
218,Female,36,Divorced,2,Graduate,Employed,Freelancer,Other,NJ
219,Male,26,Single,0,Postgraduate,Employed,Freelancer,Rent,PA
220,Male,28,Married,0,High School,Unemployed,Freelancer,Other,WY
221,Male,43,Married,0,Graduate,Self-Employed,Freelancer,Rent,WA
222,Male,47,Single,2,Postgraduate,Employed,Business,Other,TX
223,Male,38,Single,1,Graduate,Employed,Freelancer,Own,VA
224,Male,36,Married,2,High School,Self-Employed,Freelancer,Own,NM
225,Male,43,Single,2,High School,Employed,Professional,Own,FL
226,Male,34,Single,2,Graduate,Self-Employed,Salaried,Rent,WV
227,Female,57,Married,3,Graduate,Unemployed,Business,Own,AZ
228,Female,48,Married,2,Graduate,Unemployed,Salaried,Rent,PA
229,Male,66,Married,2,High School,Unemployed,Freelancer,Rent,LA
230,Male,47,Single,3,High School,Employed,Freelancer,Own,SC
231,Male,25,Married,0,Postgraduate,Unemployed,Business,Own,OR
232,Male,33,Married,0,High School,Self-Employed,Professional,Rent,KY
233,Female,48,Single,1,Graduate,Self-Employed,Professional,Rent,MD
234,Female,38,Married,3,High School,Employed,Professional,Rent,OH
235,Female,39,Single,1,Graduate,Self-Employed,Business,Own,WV
236,Female,65,Single,3,High School,Employed,Freelancer,Own,GA
237,Female,46,Married,2,Postgraduate,Employed,Business,Other,MA
238,Male,32,Married,2,Graduate,Unemployed,Business,Own,AL
239,Male,27,Single,2,Graduate,Employed,Business,Own,NC
240,Male,26,Married,1,Postgraduate,Self-Employed,Business,Own,NM
241,Male,18,Married,0,High School,Employed,Professional,Own,VA
242,Female,49,Single,3,Graduate,Employed,Salaried,Own,MD
243,Female,25,Married,3,Postgraduate,Employed,Salaried,Own,OH
244,Female,47,Married,1,Postgraduate,Unemployed,Business,Own,NM
245,Male,30,Married,1,Graduate,Employed,Business,Own,NJ
246,Female,60,Single,0,High School,Employed,Freelancer,Own,TX
247,Male,27,Married,0,Postgraduate,Employed,Professional,Own,TX
248,Female,63,Married,0,Graduate,Self-Employed,Professional,Own,NY
249,Female,39,Single,0,High School,Unemployed,Professional,Own,CA
250,Female,54,Single,3,High School,Unemployed,Professional,Rent,TX
251,Male,45,Married,1,High School,Unemployed,Freelancer,Own,TX
252,Female,44,Single,0,High School,Employed,Salaried,Own,VA
253,Male,46,Married,2,Postgraduate,Employed,Professional,Own,NJ
254,Male,37,Married,3,High School,Unemployed,Freelancer,Other,AZ
255,Male,45,Married,0,High School,Employed,Salaried,Own,MI
256,Female,29,Single,1,Graduate,Unemployed,Salaried,Rent,CA
257,Female,54,Single,0,High School,Employed,Business,Other,PA
258,Female,34,Divorced,1,Postgraduate,Employed,Professional,Other,MA
259,Female,37,Married,2,Postgraduate,Self-Employed,Business,Own,CA
260,Male,34,Single,1,High School,Unemployed,Business,Rent,FL
261,Female,32,Single,0,High School,Self-Employed,Freelancer,Rent,AZ
262,Male,51,Single,3,Graduate,Unemployed,Freelancer,Rent,PA
263,Male,26,Single,0,Graduate,Employed,Business,Own,CA
264,Female,46,Married,0,High School,Self-Employed,Business,Own,FL
265,Male,68,Married,3,High School,Employed,Salaried,Own,PA
266,Male,27,Single,3,Graduate,Employed,Salaried,Own,WI
267,Female,39,Single,3,High School,Self-Employed,Freelancer,Rent,NC
268,Male,44,Married,3,Graduate,Unemployed,Professional,Own,GA
269,Female,40,Married,0,High School,Self-Employed,Salaried,Own,PA
270,Female,34,Single,0,Graduate,Employed,Freelancer,Own,VA
271,Male,59,Single,3,Postgraduate,Employed,Business,Rent,GA
272,Female,43,Married,3,Postgraduate,Employed,Freelancer,Own,NY
273,Male,69,Single,2,Postgraduate,Employed,Freelancer,Own,WA
274,Female,44,Single,0,High School,Self-Employed,Freelancer,Rent,CA
275,Female,43,Single,3,Postgraduate,Unemployed,Freelancer,Own,AZ
276,Female,28,Married,0,High School,Employed,Professional,Own,MN
277,Female,51,Divorced,3,High School,Employed,Business,Rent,NY
278,Female,33,Married,3,High School,Unemployed,Professional,Rent,MI
279,Male,28,Single,2,High School,Unemployed,Business,Rent,CO
280,Female,20,Divorced,0,High School,Self-Employed,Salaried,Other,NY
281,Male,56,Single,3,Graduate,Employed,Salaried,Rent,OH
282,Female,49,Single,3,High School,Self-Employed,Salaried,Rent,VA
283,Male,49,Single,3,High School,Unemployed,Business,Own,CT
284,Male,30,Married,0,Graduate,Self-Employed,Salaried,Own,CA
285,Male,25,Married,1,High School,Unemployed,Business,Own,TX
286,Male,36,Single,0,Postgraduate,Employed,Business,Rent,FL
287,Male,42,Single,3,High School,Self-Employed,Freelancer,Own,OK
288,Female,33,Divorced,0,High School,Employed,Business,Own,MA
289,Male,29,Married,0,Graduate,Unemployed,Freelancer,Own,NC
290,Male,37,Married,3,High School,Self-Employed,Salaried,Own,KY
291,Male,42,Single,2,Postgraduate,Self-Employed,Salaried,Rent,NJ
292,Female,39,Married,2,Graduate,Employed,Professional,Rent,VT
293,Female,64,Married,0,High School,Self-Employed,Freelancer,Rent,TX
294,Female,30,Single,0,High School,Self-Employed,Freelancer,Own,AL
295,Female,31,Single,0,High School,Self-Employed,Professional,Other,CO
296,Male,37,Single,0,Graduate,Unemployed,Salaried,Other,TX
297,Female,29,Married,3,Postgraduate,Employed,Professional,Own,CO
298,Female,34,Single,0,High School,Unemployed,Freelancer,Own,DE
299,Female,46,Married,2,High School,Self-Employed,Salaried,Own,CA
300,Male,25,Married,3,Graduate,Employed,Business,Own,NY
301,Female,35,Single,1,Graduate,Employed,Business,Rent,NY
302,Male,40,Married,0,Graduate,Self-Employed,Business,Rent,PA
303,Female,25,Married,2,High School,Unemployed,Salaried,Rent,CT
304,Male,42,Married,2,Postgraduate,Unemployed,Freelancer,Rent,WY
305,Female,60,Single,2,Graduate,Employed,Freelancer,Own,TX
306,Male,58,Married,3,Postgraduate,Employed,Business,Other,CA
307,Male,38,Single,3,High School,Self-Employed,Professional,Own,NY
308,Male,35,Single,0,High School,Employed,Business,Own,FL
309,Female,18,Married,2,High School,Self-Employed,Professional,Rent,PA
310,Male,35,Single,2,High School,Unemployed,Salaried,Other,MI
311,Female,33,Married,3,High School,Employed,Salaried,Own,FL
312,Female,46,Married,0,High School,Employed,Business,Own,PA
313,Male,26,Married,0,High School,Unemployed,Freelancer,Own,CA
314,Male,59,Divorced,2,High School,Self-Employed,Business,Own,FL
315,Female,20,Married,0,High School,Self-Employed,Freelancer,Rent,MO
316,Female,49,Single,0,Graduate,Self-Employed,Professional,Rent,NY
317,Male,37,Married,1,Postgraduate,Employed,Professional,Own,CO
318,Female,35,Married,0,Postgraduate,Employed,Business,Own,NY
319,Male,42,Single,0,Postgraduate,Unemployed,Professional,Own,NY
320,Male,38,Single,2,Graduate,Employed,Professional,Own,AL
321,Female,29,Married,2,Postgraduate,Employed,Salaried,Own,NJ
322,Female,25,Single,3,Graduate,Self-Employed,Professional,Own,MS
323,Female,34,Married,3,Postgraduate,Employed,Freelancer,Own,MA
324,Male,30,Married,0,Graduate,Employed,Business,Own,TX
325,Female,32,Married,3,High School,Employed,Freelancer,Rent,NJ
326,Male,25,Single,3,Postgraduate,Employed,Business,Own,CA
327,Male,46,Married,1,High School,Self-Employed,Business,Rent,CA
328,Male,28,Single,3,Graduate,Employed,Salaried,Rent,WA
329,Female,48,Married,2,Graduate,Self-Employed,Business,Own,VA
330,Female,33,Married,3,Postgraduate,Self-Employed,Professional,Own,TX
331,Female,29,Single,0,High School,Unemployed,Salaried,Own,WA
332,Male,36,Single,1,High School,Unemployed,Salaried,Rent,PA
333,Female,41,Single,3,Graduate,Employed,Professional,Rent,NY
334,Male,26,Married,0,High School,Employed,Salaried,Own,NJ
335,Female,37,Divorced,3,Graduate,Unemployed,Business,Rent,GA
336,Female,41,Married,2,Postgraduate,Employed,Salaried,Own,FL
337,Male,42,Single,0,Graduate,Unemployed,Business,Own,FL
338,Male,31,Single,0,High School,Unemployed,Business,Rent,WA
339,Male,35,Married,2,Postgraduate,Employed,Salaried,Own,IL
340,Female,31,Single,2,High School,Employed,Business,Own,CO
341,Male,26,Married,3,Postgraduate,Self-Employed,Business,Own,MO
342,Female,27,Divorced,0,Postgraduate,Unemployed,Business,Own,CA
343,Female,35,Married,3,High School,Employed,Business,Own,VA
344,Female,27,Divorced,1,Graduate,Employed,Freelancer,Rent,NY
345,Female,25,Married,2,High School,Unemployed,Freelancer,Rent,PA
346,Male,43,Married,2,Graduate,Employed,Freelancer,Own,NY
347,Female,38,Single,1,High School,Employed,Business,Own,MD
348,Male,41,Single,1,High School,Employed,Professional,Own,CT
349,Female,43,Single,0,Postgraduate,Employed,Business,Other,CA
350,Male,43,Married,1,Postgraduate,Self-Employed,Salaried,Own,GA
351,Female,45,Married,0,High School,Unemployed,Professional,Own,FL
352,Female,68,Single,0,High School,Employed,Business,Own,CA
353,Female,43,Divorced,3,Graduate,Self-Employed,Business,Own,DC
354,Male,25,Married,1,High School,Employed,Freelancer,Own,TX
355,Female,49,Married,2,Graduate,Unemployed,Salaried,Own,GA
356,Male,35,Married,3,Graduate,Unemployed,Business,Rent,FL
357,Male,25,Single,1,Graduate,Unemployed,Professional,Rent,FL
358,Male,47,Married,0,Graduate,Employed,Salaried,Own,CA
359,Male,24,Single,0,High School,Self-Employed,Professional,Own,NJ
360,Male,32,Single,2,Graduate,Employed,Freelancer,Own,AZ
361,Female,31,Single,3,High School,Employed,Business,Rent,NY
362,Female,39,Married,3,High School,Employed,Business,Own,VA
363,Male,40,Single,0,Graduate,Employed,Freelancer,Own,NV
364,Female,46,Divorced,0,High School,Unemployed,Business,Other,FL
365,Female,44,Single,1,High School,Self-Employed,Salaried,Own,VA
366,Male,32,Single,1,Postgraduate,Employed,Business,Own,NH
367,Male,59,Single,2,High School,Self-Employed,Salaried,Own,NY
368,Male,53,Single,2,Graduate,Self-Employed,Business,Rent,PA
369,Male,37,Single,1,Graduate,Employed,Salaried,Rent,NJ
370,Female,28,Married,1,High School,Unemployed,Freelancer,Rent,CA
371,Female,43,Married,2,Graduate,Employed,Business,Own,CA
372,Male,48,Single,3,Graduate,Employed,Salaried,Own,NY
373,Female,30,Single,1,High School,Self-Employed,Freelancer,Other,CA
374,Male,40,Single,1,Graduate,Self-Employed,Professional,Own,MD
375,Male,48,Divorced,0,Postgraduate,Unemployed,Freelancer,Own,PA
376,Female,48,Married,3,Graduate,Employed,Professional,Own,LA
377,Male,47,Divorced,0,High School,Employed,Professional,Own,CA
378,Female,31,Married,2,High School,Employed,Freelancer,Own,CA
379,Female,62,Single,2,High School,Unemployed,Salaried,Own,OH
380,Female,27,Divorced,3,Postgraduate,Unemployed,Freelancer,Own,VA
381,Female,45,Married,3,Graduate,Employed,Salaried,Own,PA
382,Female,42,Divorced,0,Graduate,Self-Employed,Professional,Own,MI
383,Female,41,Divorced,0,Graduate,Employed,Salaried,Rent,CA
384,Male,52,Single,0,High School,Self-Employed,Freelancer,Own,VA
385,Female,37,Single,0,High School,Employed,Salaried,Own,MN
386,Female,53,Married,3,Graduate,Employed,Freelancer,Own,AR
387,Female,35,Married,3,Postgraduate,Employed,Salaried,Own,CA
388,Male,42,Married,1,Graduate,Employed,Business,Own,CA
389,Female,36,Single,2,Graduate,Employed,Business,Rent,OR
390,Male,57,Single,2,Graduate,Employed,Freelancer,Own,CA
391,Female,62,Married,1,Graduate,Self-Employed,Business,Own,OR
392,Female,49,Married,0,Graduate,Employed,Freelancer,Own,FL
393,Male,42,Single,3,High School,Employed,Salaried,Own,VA
394,Male,39,Single,1,Graduate,Self-Employed,Business,Own,TX
395,Female,25,Married,2,Graduate,Employed,Salaried,Own,TX
396,Female,37,Single,3,High School,Self-Employed,Business,Own,NY
397,Female,66,Single,3,Postgraduate,Employed,Salaried,Rent,TX
398,Male,27,Single,2,Graduate,Unemployed,Salaried,Rent,FL
399,Female,40,Married,2,High School,Unemployed,Professional,Rent,CA
400,Female,41,Married,1,Graduate,Employed,Professional,Own,CA
401,Female,31,Single,0,Graduate,Self-Employed,Salaried,Own,CA
402,Female,40,Single,0,Graduate,Employed,Salaried,Own,FL
403,Female,30,Single,0,Graduate,Employed,Business,Rent,TX
404,Male,64,Single,1,Graduate,Self-Employed,Professional,Rent,MA
405,Male,31,Married,3,High School,Unemployed,Freelancer,Own,OH
406,Female,56,Married,2,High School,Employed,Business,Other,NY
407,Female,36,Married,1,High School,Employed,Professional,Own,CA
408,Male,33,Married,3,Graduate,Employed,Salaried,Own,HI
409,Male,46,Divorced,0,Graduate,Self-Employed,Salaried,Own,IL
410,Female,33,Married,2,High School,Unemployed,Salaried,Own,AL
411,Male,35,Single,1,Graduate,Employed,Freelancer,Rent,CA
412,Female,59,Single,3,High School,Self-Employed,Business,Own,MD
413,Female,27,Married,3,Postgraduate,Self-Employed,Freelancer,Other,NY
414,Female,39,Single,0,Graduate,Self-Employed,Freelancer,Rent,PA
415,Male,40,Single,1,High School,Employed,Freelancer,Rent,CA
416,Female,32,Married,0,High School,Employed,Salaried,Own,NC
417,Male,37,Married,2,High School,Employed,Business,Rent,CO
418,Male,33,Married,2,Graduate,Employed,Business,Rent,VA
419,Male,38,Married,3,Postgraduate,Unemployed,Freelancer,Rent,IL
420,Male,39,Single,2,High School,Self-Employed,Freelancer,Own,CA
421,Male,37,Married,1,High School,Employed,Business,Own,PA
