applicant_id,loan_history,loan_amount_requested,loan_term,loan_purpose,interest_rate,loan_type,co-applicant,transaction_frequency
77,0,8567,58,Home,7.34,Unsecured,Yes,21
78,0,25540,56,Home,7.65,Secured,No,15
79,0,24384,132,Vehicle,10.88,Secured,Yes,6
80,0,21258,211,Education,11.72,Unsecured,Yes,24
81,0,12023,193,Education,14.14,Unsecured,No,12
82,0,32699,200,Personal,14.74,Secured,No,7
83,0,23706,98,Vehicle,8.45,Unsecured,No,5
84,1,20910,78,Vehicle,8.11,Unsecured,No,23
85,0,38280,44,Personal,14.15,Secured,No,12
86,0,20953,35,Education,9.14,Secured,Yes,5
87,1,11245,21,Personal,8.49,Secured,Yes,21
88,0,25515,132,Vehicle,12.96,Unsecured,Yes,15
89,1,13470,136,Personal,5.79,Unsecured,Yes,28
90,0,20682,208,Home,6.41,Unsecured,Yes,29
91,1,23590,223,Personal,9.53,Unsecured,Yes,16
92,0,6504,28,Home,11.2,Secured,Yes,10
93,0,12598,76,Vehicle,10.89,Secured,No,5
94,0,26779,227,Home,5.85,Secured,No,24
95,0,5005,94,Vehicle,11.49,Secured,No,23
96,0,21760,121,Home,8.97,Secured,Yes,29
97,0,20000,177,Vehicle,9.74,Secured,Yes,16
98,1,22702,108,Vehicle,10.4,Secured,No,10
99,1,21339,23,Education,9.19,Unsecured,No,6
100,0,22315,229,Education,10.75,Secured,No,26
101,0,39683,237,Education,9.19,Secured,Yes,18
102,0,20034,132,Personal,6.4,Unsecured,Yes,9
103,0,20000,82,Education,4.35,Secured,No,20
104,0,35421,44,Personal,7.51,Secured,No,26
105,1,16929,175,Home,13.26,Secured,Yes,19
106,0,22765,107,Home,8.44,Unsecured,No,6
107,0,25968,12,Home,12.63,Secured,Yes,10
108,0,12034,103,Home,8.74,Secured,Yes,28
109,0,21819,31,Home,14.3,Secured,Yes,16
110,1,27308,78,Home,5.56,Secured,Yes,28
111,0,37201,79,Home,13.06,Secured,No,24
112,0,24418,28,Education,13.77,Secured,Yes,14
113,0,12388,134,Personal,6.97,Unsecured,No,23
114,0,7467,227,Education,10.89,Unsecured,Yes,17
115,0,23620,204,Vehicle,5.21,Unsecured,Yes,6
116,0,17202,137,Vehicle,3.57,Unsecured,Yes,8
117,0,5904,217,Education,7.36,Secured,No,10
118,0,38046,86,Personal,4.21,Unsecured,No,11
119,0,19370,197,Home,11.98,Secured,Yes,28
120,0,20000,169,Vehicle,6.09,Secured,No,19
121,0,13538,152,Home,13.37,Unsecured,No,14
122,0,14435,119,Vehicle,12.54,Secured,Yes,18
123,1,20803,237,Vehicle,4.41,Secured,No,19
124,0,20000,66,Home,11.69,Secured,No,15
125,0,27299,200,Home,14.53,Secured,No,7
126,1,22578,33,Personal,7.5,Unsecured,Yes,22
127,0,7048,223,Personal,10.4,Unsecured,Yes,21
128,0,14612,102,Education,12.23,Secured,Yes,5
129,1,23742,239,Home,5.35,Secured,No,26
130,1,36366,144,Education,5.22,Unsecured,Yes,25
131,0,22124,82,Personal,13.74,Secured,Yes,29
132,1,22495,188,Personal,14.34,Secured,Yes,16
133,0,31837,36,Vehicle,6.14,Unsecured,Yes,23
134,0,26740,61,Personal,7.51,Secured,No,18
135,0,9424,231,Vehicle,13.05,Unsecured,No,26
136,0,26096,186,Home,7.87,Unsecured,Yes,20
137,0,31920,163,Education,7.69,Secured,No,16
138,0,13416,191,Home,6.43,Unsecured,No,22
139,0,20116,205,Vehicle,4.68,Secured,Yes,13
140,0,20768,104,Education,3.67,Unsecured,No,20
141,0,12852,102,Home,5.35,Unsecured,Yes,10
142,0,20120,193,Vehicle,5.35,Unsecured,No,16
143,0,20000,30,Education,13.58,Secured,Yes,23
144,0,28073,110,Home,11.37,Unsecured,Yes,20
145,0,22208,50,Education,7.37,Secured,Yes,28
146,0,22311,191,Personal,6.14,Secured,No,22
147,0,20138,142,Home,11.72,Secured,No,28
148,0,20000,146,Vehicle,11.93,Secured,No,15
149,0,23002,175,Education,8.1,Unsecured,Yes,12
150,0,30063,46,Home,8.83,Secured,Yes,11
151,1,11812,138,Home,5.78,Secured,Yes,13
152,0,23291,33,Education,13.88,Unsecured,No,12
153,0,20230,14,Home,7.96,Secured,No,5
154,0,20000,74,Vehicle,4.05,Unsecured,Yes,20
155,0,7627,102,Education,12.09,Unsecured,Yes,15
156,0,23109,99,Personal,8.04,Unsecured,Yes,11
157,0,20247,114,Personal,12.59,Unsecured,No,16
158,0,13668,176,Personal,6.09,Unsecured,Yes,10
159,0,41482,43,Home,7.51,Unsecured,Yes,15
160,0,5532,49,Vehicle,11.41,Unsecured,Yes,8
161,0,21868,102,Home,3.52,Unsecured,No,23
162,1,31162,181,Education,13.9,Unsecured,Yes,21
163,0,29890,105,Home,13.43,Secured,Yes,21
164,0,20000,115,Home,9.85,Secured,Yes,21
165,0,25551,82,Home,6.38,Unsecured,No,6
166,0,7191,181,Education,7.88,Unsecured,Yes,24
167,0,32266,99,Vehicle,4.72,Secured,Yes,8
168,0,22653,75,Home,5.9,Secured,Yes,23
169,1,31502,45,Vehicle,12.42,Secured,No,21
170,0,25546,60,Home,4.57,Unsecured,Yes,19
171,0,20000,71,Home,13.95,Unsecured,Yes,23
172,1,21963,198,Education,6.7,Secured,No,11
173,1,21163,42,Education,9.19,Secured,Yes,16
174,0,26269,60,Personal,7.22,Secured,No,16
175,0,26412,48,Home,3.79,Secured,No,10
176,0,42430,130,Education,12.25,Secured,No,21
177,0,21028,223,Education,11.08,Secured,Yes,24
178,0,37995,70,Home,8.87,Unsecured,Yes,6
179,0,8752,61,Personal,11.81,Unsecured,Yes,17
180,0,26881,226,Personal,5.83,Secured,No,19
181,0,27695,12,Education,8.96,Unsecured,No,8
182,0,25631,214,Home,13.25,Secured,Yes,19
183,0,11583,194,Education,14.93,Secured,Yes,6
184,0,10102,190,Education,5.72,Secured,No,9
185,0,22935,209,Home,9.65,Unsecured,No,24
186,0,20167,149,Personal,6.74,Unsecured,Yes,5
187,0,6717,99,Vehicle,13.56,Unsecured,No,28
188,0,20000,37,Home,14.26,Unsecured,No,26
189,0,20000,202,Personal,4.93,Unsecured,Yes,8
190,0,31729,28,Home,11.2,Secured,No,16
191,0,24072,231,Personal,5.22,Secured,Yes,17
192,1,10274,88,Home,7.02,Unsecured,Yes,28
193,0,6648,88,Vehicle,7.96,Unsecured,Yes,22
194,0,33694,28,Home,9.61,Unsecured,Yes,10
195,0,20182,146,Home,12.56,Unsecured,No,15
196,0,20000,155,Education,14.59,Unsecured,No,13
197,0,5775,208,Home,10.97,Unsecured,No,22
198,0,8804,197,Home,7.7,Secured,No,7
199,1,20652,158,Personal,11.88,Secured,Yes,5
200,0,20471,116,Home,12.85,Unsecured,No,24
201,0,24858,186,Education,6.02,Secured,No,11
202,0,31016,126,Education,11.58,Unsecured,No,24
203,0,23173,152,Home,13.34,Unsecured,No,22
204,0,7318,130,Education,8.4,Unsecured,Yes,24
205,1,31594,112,Personal,13.03,Unsecured,No,22
206,0,29716,172,Vehicle,8.32,Secured,No,17
207,0,22066,29,Vehicle,6.8,Secured,Yes,15
208,1,27064,218,Vehicle,14.59,Unsecured,Yes,20
209,0,29134,166,Home,13.13,Secured,Yes,21
210,0,20561,224,Home,5.27,Unsecured,No,10
211,0,23764,156,Personal,5.31,Secured,No,9
212,1,21978,238,Home,11.18,Unsecured,No,23
213,0,25432,195,Vehicle,4.21,Secured,Yes,21
214,1,24638,175,Vehicle,5.93,Secured,Yes,7
215,0,17634,171,Vehicle,7.19,Unsecured,No,17
216,0,20000,221,Home,4.76,Unsecured,Yes,29
217,1,20847,95,Personal,5.97,Secured,No,18
218,0,14216,127,Home,6.91,Unsecured,Yes,24
219,0,24880,104,Vehicle,7.25,Unsecured,Yes,5
220,0,5935,116,Vehicle,4.09,Secured,No,13
221,0,23104,78,Home,4.55,Unsecured,Yes,21
222,0,25407,221,Vehicle,3.94,Unsecured,Yes,26
223,0,24878,127,Personal,8.64,Unsecured,Yes,8
224,0,27746,166,Home,12.8,Secured,No,10
225,0,23317,195,Home,5.92,Secured,Yes,17
226,0,28996,38,Vehicle,7.47,Unsecured,No,10
227,0,19138,50,Vehicle,4.52,Secured,Yes,28
228,0,35768,198,Home,6.42,Unsecured,No,16
229,0,10892,216,Education,3.95,Secured,No,9
230,0,23715,76,Home,3.59,Unsecured,No,14
231,0,20010,115,Vehicle,13.51,Unsecured,Yes,8
232,0,33687,89,Home,4.18,Secured,Yes,25
233,0,20000,57,Personal,12.46,Secured,No,19
234,0,27536,122,Personal,12.91,Unsecured,Yes,12
235,0,30888,218,Personal,10.36,Unsecured,No,18
236,0,8191,171,Home,12.87,Unsecured,No,23
237,0,25478,29,Education,8.1,Unsecured,Yes,16
238,0,20526,231,Personal,12.06,Unsecured,No,5
239,0,20191,19,Personal,3.87,Unsecured,No,15
240,1,20506,41,Vehicle,4.27,Unsecured,No,28
241,0,20817,207,Education,11.81,Unsecured,No,29
242,0,6627,159,Personal,5.59,Unsecured,Yes,25
243,0,12231,167,Education,5.74,Secured,No,14
244,0,31140,110,Home,7.22,Unsecured,Yes,14
245,0,24465,60,Home,8.63,Secured,Yes,8
246,0,16738,191,Vehicle,10.6,Unsecured,Yes,16
247,1,27869,183,Personal,6.42,Unsecured,Yes,9
248,0,15948,146,Education,13.71,Secured,No,28
249,0,25145,229,Personal,7.88,Unsecured,No,27
250,0,5126,168,Personal,9.05,Unsecured,No,28
251,0,20473,103,Home,7.17,Unsecured,No,26
252,0,27285,137,Home,13.52,Secured,Yes,23
253,0,12157,193,Vehicle,13.55,Secured,No,19
254,0,26978,14,Home,3.68,Secured,Yes,21
255,0,20000,172,Education,7.82,Unsecured,Yes,7
256,1,35289,98,Personal,9.34,Unsecured,Yes,24
257,0,5448,42,Education,11.12,Secured,No,29
258,0,23462,40,Vehicle,11.86,Unsecured,No,29
259,0,25431,218,Personal,11.86,Unsecured,No,19
260,0,37489,234,Education,9.54,Unsecured,No,14
261,1,20018,144,Home,7.92,Unsecured,Yes,6
262,1,8104,206,Vehicle,6.76,Unsecured,Yes,24
263,0,20017,27,Personal,12.04,Secured,No,19
264,0,20024,109,Personal,7.67,Unsecured,Yes,18
265,0,12066,87,Home,6.58,Secured,No,14
266,1,16329,189,Vehicle,3.9,Secured,Yes,19
267,0,20175,230,Education,9.36,Unsecured,Yes,20
268,0,12789,73,Home,11.69,Secured,Yes,16
269,1,26586,222,Home,11.38,Secured,Yes,16
270,0,22456,151,Personal,6.15,Secured,No,12
271,0,5372,118,Education,13.21,Unsecured,Yes,12
272,0,7065,48,Personal,13.23,Unsecured,No,27
273,0,15731,85,Home,14.22,Secured,No,26
274,0,12959,82,Vehicle,11.02,Unsecured,No,29
275,0,20759,143,Vehicle,12.05,Secured,Yes,17
276,0,22154,30,Education,3.98,Secured,No,27
277,0,18582,59,Home,6.35,Unsecured,No,17
278,0,33931,88,Personal,13.96,Unsecured,No,15
279,1,19871,33,Home,5.91,Unsecured,No,6
280,0,9854,233,Home,8.94,Secured,No,12
281,1,13096,213,Education,5.79,Secured,No,16
282,1,25471,187,Home,5.28,Secured,No,20
283,0,23073,123,Personal,12.16,Unsecured,No,18
284,0,25882,136,Home,7.49,Secured,No,13
285,1,24267,56,Vehicle,6.84,Unsecured,Yes,27
286,0,33169,73,Vehicle,6.99,Unsecured,Yes,23
287,1,21415,175,Education,7.69,Secured,Yes,12
288,0,29013,67,Education,9.74,Secured,No,21
289,0,24195,130,Vehicle,4.47,Secured,Yes,13
290,1,20093,80,Home,9.71,Secured,Yes,8
291,1,24143,14,Personal,11.7,Secured,Yes,21
292,0,20230,166,Home,12.85,Unsecured,Yes,10
293,0,10479,116,Education,9.6,Unsecured,Yes,28
294,0,26445,50,Personal,8.86,Secured,Yes,11
295,0,20000,135,Home,7.27,Unsecured,Yes,21
296,1,23405,75,Education,11.4,Unsecured,No,22
297,1,5807,62,Education,8.38,Secured,Yes,11
298,0,30789,146,Home,13.63,Unsecured,Yes,7
299,0,22572,142,Home,9.35,Secured,No,10
300,0,31776,173,Home,5.11,Secured,No,14
301,1,20000,49,Education,10.24,Secured,Yes,21
302,1,20000,79,Home,6.69,Unsecured,No,20
303,0,20391,138,Vehicle,12.76,Unsecured,Yes,22
304,1,22952,169,Vehicle,8.4,Unsecured,No,21
305,0,18230,177,Personal,7.6,Secured,Yes,28
306,0,8954,17,Home,11.94,Unsecured,No,13
307,0,20000,115,Education,5.86,Unsecured,Yes,27
308,1,22506,128,Home,5.51,Unsecured,No,23
309,0,19702,66,Education,10.18,Unsecured,Yes,18
310,0,27990,12,Home,11.3,Secured,Yes,21
311,0,27489,137,Home,9.71,Unsecured,No,6
312,1,20302,37,Education,4.67,Secured,Yes,13
313,0,27171,178,Home,7.72,Unsecured,No,15
314,1,8539,183,Home,7.15,Secured,Yes,9
315,0,9191,76,Personal,4.83,Unsecured,Yes,24
316,0,21767,91,Personal,9.15,Secured,Yes,27
317,0,21106,95,Home,14.2,Unsecured,No,16
318,0,20415,147,Personal,7.93,Unsecured,Yes,29
319,0,22997,86,Home,4.85,Unsecured,No,8
320,0,36169,148,Education,6.87,Secured,No,15
321,0,22180,126,Home,12.1,Secured,No,22
322,1,8502,22,Personal,6.47,Secured,Yes,8
323,0,21487,59,Education,11.57,Secured,Yes,13
324,0,20000,64,Vehicle,12.24,Secured,No,14
325,0,6484,118,Home,12.61,Unsecured,Yes,20
326,0,11181,15,Personal,7.23,Unsecured,Yes,5
327,0,20000,232,Home,9.31,Secured,No,7
328,0,22195,207,Education,14.29,Unsecured,No,14
329,0,37321,182,Education,9.95,Secured,No,6
330,0,31816,226,Vehicle,14.28,Secured,Yes,18
331,0,20000,139,Vehicle,4.34,Secured,Yes,7
332,0,5677,193,Home,13.21,Secured,Yes,8
333,0,20443,123,Home,5.83,Unsecured,No,27
334,0,31934,79,Home,14.96,Unsecured,No,20
335,0,23064,139,Education,6.12,Secured,Yes,21
336,0,23359,145,Education,10.72,Secured,Yes,14
337,0,7509,227,Home,4.81,Unsecured,Yes,9
338,0,12008,178,Education,9.52,Secured,Yes,6
339,0,34371,117,Vehicle,5.22,Unsecured,Yes,18
340,1,26708,204,Education,3.83,Unsecured,Yes,26
341,0,44125,118,Vehicle,14.6,Unsecured,No,15
342,0,20329,142,Education,5.36,Secured,Yes,17
343,0,35194,159,Education,8.22,Unsecured,No,24
344,0,24315,228,Home,4.65,Secured,No,20
345,0,25655,178,Vehicle,5.16,Unsecured,Yes,27
346,1,20000,178,Vehicle,14.63,Unsecured,Yes,5
347,1,20186,142,Vehicle,5.94,Secured,Yes,29
348,0,20000,149,Home,6.85,Secured,No,6
349,0,20006,35,Home,8.31,Secured,No,16
350,0,20000,186,Education,8.15,Secured,Yes,22
351,0,27224,199,Education,4.65,Secured,Yes,26
352,0,9182,71,Personal,10.32,Secured,No,5
353,0,27744,232,Vehicle,4.39,Secured,Yes,16
354,1,20612,86,Home,5.89,Unsecured,Yes,29
355,0,33843,102,Home,14.43,Unsecured,No,26
356,0,25953,118,Vehicle,13.52,Secured,Yes,9
357,0,23737,124,Vehicle,9.97,Unsecured,Yes,10
358,0,24124,92,Home,8.76,Secured,Yes,12
359,1,7965,44,Personal,13.74,Unsecured,Yes,23
360,0,22463,47,Home,7.85,Unsecured,Yes,13
361,0,20000,209,Personal,3.68,Secured,Yes,7
362,0,29468,77,Education,6.06,Secured,Yes,20
363,0,20000,56,Vehicle,14.17,Secured,No,21
364,0,20000,224,Vehicle,8.76,Secured,Yes,13
365,1,17609,224,Home,12.09,Unsecured,No,15
366,0,20000,123,Personal,10.13,Secured,No,16
367,0,8539,134,Education,7.98,Unsecured,Yes,18
368,1,17064,121,Vehicle,13.26,Unsecured,No,6
369,0,22686,54,Personal,11.1,Unsecured,No,12
370,0,20000,109,Personal,9.19,Secured,Yes,27
371,0,30387,118,Home,6.18,Unsecured,No,27
372,0,20000,100,Education,6.1,Secured,No,10
373,0,33240,26,Home,11.99,Unsecured,Yes,21
374,1,23773,184,Education,14.69,Secured,No,13
375,0,21460,217,Home,5.18,Unsecured,Yes,13
376,0,20532,88,Education,7.45,Secured,No,27
377,0,6836,71,Personal,9.77,Secured,No,24
378,0,20000,190,Home,14.77,Unsecured,Yes,9
379,0,16884,113,Home,8.71,Unsecured,Yes,12
380,0,35716,119,Home,5.66,Secured,No,6
381,0,23714,82,Vehicle,5.03,Secured,Yes,23
382,0,26225,104,Home,5.72,Secured,No,19
383,0,23663,233,Home,14.91,Secured,No,10
384,0,8439,31,Home,4.81,Unsecured,No,20
385,0,13557,134,Home,7.3,Secured,Yes,28
386,0,8680,33,Vehicle,4.93,Secured,No,26
387,0,21946,51,Home,6.79,Secured,Yes,18
388,0,20316,86,Personal,13.97,Secured,Yes,9
389,0,8398,193,Education,7.84,Secured,Yes,24
390,0,13619,200,Home,7.27,Secured,Yes,17
391,0,15153,152,Home,14.84,Unsecured,Yes,17
392,0,28423,13,Home,11.94,Unsecured,Yes,26
393,0,20738,184,Home,7.72,Unsecured,Yes,11
394,0,6816,193,Vehicle,14.34,Unsecured,No,12
395,0,20418,230,Education,8.58,Secured,Yes,28
396,0,15930,225,Education,12.31,Unsecured,No,19
397,0,11332,81,Education,13.48,Secured,Yes,18
398,1,29238,162,Home,14.33,Unsecured,Yes,28
399,0,8301,143,Education,5.87,Secured,No,19
400,0,21424,80,Home,3.84,Secured,No,6
401,0,26618,71,Home,14.36,Secured,No,19
402,1,11624,61,Vehicle,14.12,Secured,No,5
403,0,27142,172,Home,6.73,Unsecured,Yes,14
404,0,9932,202,Education,14.3,Secured,Yes,12
405,0,20226,45,Home,10.02,Unsecured,Yes,10
406,0,14848,218,Education,10.51,Secured,Yes,9
407,1,20000,222,Home,6.6,Secured,Yes,28
408,0,28510,69,Home,9.35,Unsecured,Yes,19
409,0,18415,160,Education,7.64,Unsecured,Yes,12
410,1,20593,117,Education,11.39,Unsecured,Yes,29
411,1,20241,49,Personal,8.28,Unsecured,No,8
412,0,11390,158,Vehicle,13.18,Unsecured,No,26
413,0,18359,165,Home,9.48,Unsecured,Yes,18
414,0,34881,164,Home,4.02,Unsecured,No,29
415,0,20000,217,Home,7.79,Secured,No,26
416,1,22226,188,Personal,4.08,Secured,No,12
417,0,31974,115,Home,10.94,Secured,Yes,16
418,0,20413,159,Vehicle,9.44,Secured,No,23
419,0,36274,65,Vehicle,5.54,Secured,Yes,9
420,0,21929,145,Personal,10.08,Unsecured,No,23
421,0,5777,62,Personal,6.91,Unsecured,No,5
422,0,16951,97,Education,4.6,Secured,Yes,28
423,0,28341,18,Home,11.6,Secured,No,19
424,0,25605,30,Home,4.47,Secured,Yes,7
425,1,20740,218,Personal,12.05,Secured,Yes,10
426,0,22454,193,Home,12.69,Unsecured,No,25
427,0,20988,62,Home,12.88,Secured,Yes,17
428,1,16778,151,Vehicle,6.48,Secured,No,28
429,1,25211,54,Education,12.87,Unsecured,No,24
430,0,20161,63,Home,12.48,Unsecured,Yes,24
431,0,20070,54,Personal,9.65,Unsecured,No,20
432,0,10054,19,Education,10.17,Secured,Yes,29
433,0,21784,239,Education,5.56,Secured,Yes,5
434,0,21698,113,Home,6.41,Unsecured,Yes,20
435,1,24966,23,Education,12.09,Unsecured,No,27
436,0,12785,102,Vehicle,13.94,Unsecured,Yes,18
437,0,30508,196,Home,8.65,Secured,Yes,25
438,0,12854,49,Home,12.84,Unsecured,Yes,26
439,0,7374,110,Home,10.9,Unsecured,No,18
440,0,23654,194,Personal,5.4,Secured,Yes,18
441,0,20055,115,Education,3.68,Secured,Yes,11
442,0,14981,86,Personal,8.56,Secured,Yes,16
443,1,24339,174,Home,9.69,Secured,Yes,10
444,1,26136,234,Education,5.73,Unsecured,Yes,20
445,1,6426,115,Home,8.1,Secured,Yes,20
446,0,8327,197,Vehicle,12.47,Unsecured,Yes,22
447,0,11894,71,Personal,7.53,Secured,No,17
448,0,8518,51,Home,6.49,Unsecured,Yes,6
449,1,34365,189,Home,10.11,Secured,Yes,7
450,0,20264,32,Education,8.74,Secured,No,11
451,0,21609,228,Education,10.91,Unsecured,No,28
452,0,20937,202,Home,11.08,Unsecured,Yes,25
453,0,20000,42,Personal,9.63,Unsecured,Yes,20
454,0,9617,230,Home,4.72,Unsecured,No,25
455,0,26658,175,Personal,11.56,Unsecured,No,15
456,0,30339,183,Vehicle,9.2,Unsecured,No,5
457,0,20000,136,Home,5.71,Unsecured,Yes,24
458,1,34445,144,Vehicle,7.09,Secured,Yes,18
459,0,26250,13,Home,3.76,Secured,Yes,15
460,0,20000,180,Personal,12.17,Secured,No,17
461,0,31674,100,Home,6.7,Secured,Yes,22
462,1,20919,108,Home,8.83,Unsecured,Yes,23
463,0,20445,177,Education,14.25,Secured,Yes,5
464,0,20000,139,Home,12.99,Unsecured,No,20
465,0,13659,34,Home,8.49,Unsecured,No,13
466,0,20667,202,Personal,5.52,Secured,No,6
467,0,20000,157,Personal,11.32,Unsecured,Yes,9
468,0,7501,29,Home,13.57,Unsecured,No,11
469,0,20000,134,Home,13.01,Unsecured,Yes,11
470,1,10779,191,Vehicle,5.31,Unsecured,No,28
471,0,22513,230,Education,8.66,Unsecured,No,23
472,0,5006,207,Personal,6.68,Secured,No,15
473,0,25393,205,Home,8.89,Unsecured,No,13
474,0,6958,157,Education,4,Unsecured,No,11
475,1,26277,236,Home,9.96,Unsecured,Yes,8
476,1,8672,125,Personal,10.08,Unsecured,No,9
477,0,20000,171,Home,12.24,Secured,Yes,17
478,1,20466,141,Personal,13.06,Unsecured,Yes,15
479,0,8844,196,Personal,4.17,Unsecured,Yes,21
480,0,20441,213,Vehicle,5.89,Unsecured,Yes,28
481,1,32198,143,Vehicle,9.67,Unsecured,Yes,7
482,1,20173,126,Home,13.14,Secured,No,28
483,0,32268,28,Home,12.11,Unsecured,Yes,27
484,0,20000,92,Vehicle,8.54,Secured,Yes,25
485,0,20000,71,Personal,11.69,Secured,Yes,21
486,0,7054,162,Home,14.92,Secured,Yes,6
487,0,25111,121,Home,8.13,Secured,No,12
488,0,36601,178,Home,3.7,Unsecured,No,13
489,0,9563,87,Education,11.68,Unsecured,Yes,17
490,0,8597,174,Education,9.41,Unsecured,Yes,24
491,0,21067,226,Home,11.02,Secured,Yes,29
492,1,33081,115,Home,12.68,Secured,No,25
493,0,20000,40,Home,5.14,Secured,No,7
494,0,37407,49,Personal,8.78,Secured,Yes,28
495,1,20000,89,Education,10.35,Secured,Yes,19
496,0,22151,133,Home,14.22,Secured,Yes,9
497,0,26414,39,Home,5.27,Secured,No,15
498,0,20669,238,Vehicle,11.08,Unsecured,No,10
499,0,12364,17,Education,13.03,Unsecured,No,29
500,1,19289,62,Home,9.55,Secured,No,21
501,1,28337,118,Home,8.92,Unsecured,Yes,17
502,0,30962,224,Vehicle,11.43,Unsecured,Yes,11
503,1,20251,85,Personal,10.96,Unsecured,No,9
504,0,5676,96,Personal,10.81,Unsecured,No,16
505,0,23631,41,Vehicle,11.68,Unsecured,No,15
506,0,20789,196,Education,12.86,Secured,No,27
507,0,7832,81,Education,6.02,Unsecured,No,27
508,0,8105,185,Home,12.08,Unsecured,No,9
509,0,8351,34,Personal,8.46,Unsecured,No,19
510,0,6747,197,Education,11.31,Secured,Yes,14
511,1,24460,71,Personal,9.61,Unsecured,No,27
512,1,27891,209,Vehicle,4.35,Secured,No,17
513,0,6693,234,Vehicle,7.25,Unsecured,No,22
514,0,10458,105,Home,10.42,Secured,Yes,5
515,0,24951,148,Home,11.21,Secured,Yes,14
516,0,23589,238,Home,13.6,Unsecured,Yes,19
517,1,21111,34,Home,12.04,Unsecured,Yes,23
